school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
1011001-ct1,2.0,0.0,8.0,4.0
1011020-ct20,0.0,0.0,0.0,0.0
1011019-ct19,1.0,0.0,1.0,0.0
1011018-ct18,0.0,1.0,2.0,0.0
1011024-ct24,0.0,0.0,0.0,0.0
1011004-ct4,0.0,2.0,9.0,0.0
-ct32,0.0,0.0,0.0,0.0
1011011-ct11,0.0,1.0,1.0,0.0
1011022-ct22,1.0,0.0,1.0,0.0
1011026-ct26,0.0,0.0,0.0,0.0
-ct31,0.0,1.0,2.0,2.0
1011010-ct10,0.0,0.0,0.0,0.0
1011003-ct3,0.0,0.0,1.0,0.0
1011028-ct28,1.0,0.0,1.0,0.0
1011014-ct14,2.0,1.0,5.0,0.0
1011005-ct5,1.0,0.0,10.0,0.0
-ct33,0.0,1.0,1.0,1.0
1011006-ct6,1.0,0.0,6.0,3.0
1011007-ct7,0.0,0.0,4.0,0.0
1011013-ct13,1.0,0.0,0.0,1.0
1011009-ct9,0.0,4.0,7.0,8.0
1011008-ct8,0.0,0.0,0.0,0.0
1011017-ct17,1.0,0.0,6.0,1.0
-ct34,0.0,0.0,8.0,0.0
