school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4202083-tg283,1,3,10,6
4202034-tg234,8,2,7,1
4202059-tg259,7,1,7,2
4202003-tg203,8,0,1,0
4202032-tg232,1,0,7,0
4112062-tg262,6,0,1,0
4152012-tg212,5,0,1,0
4112085-tg285,2,0,3,0
4152049-tg249,1,0,4,0
4152030-tg230,2,0,2,0
4152041-tg241,1,0,3,0
4152072-tg272,0,0,4,0
4202010-tg210,0,1,3,0
4152002-tg202,0,0,3,0
4192099-tg299,0,0,2,0
4202074-tg274,1,0,1,0
4152017-tg217,0,0,1,1
4112043-tg243,0,0,2,0
4152033-tg233,1,0,1,0
4202004-tg204,1,0,1,0
4152013-tg213,0,0,2,0
4152031-tg231,1,0,1,0
4152035-tg235,0,0,1,0
4152092-tg292,0,0,1,0
4152091-tg291,0,0,1,0
