school_server_code,total_stud_e,total_stud_m,total_stud_s
-ct31,0,0,0
-ct32,0,0,0
-ct33,0,0,0
-ct34,0,0,0
-tg100,0,0,0
1011001-ct1,0,0,0
1011003-ct3,0,0,0
1011004-ct4,0,0,0
1011005-ct5,0,0,0
1011006-ct6,0,0,0
1011007-ct7,0,0,0
1011008-ct8,0,0,0
1011009-ct9,0,0,0
1011010-ct10,0,0,0
1011011-ct11,0,0,0
1011013-ct13,0,0,0
1011014-ct14,0,0,0
1011016-ct16,0,0,0
1011017-ct17,0,0,0
1011018-ct18,0,0,0
1011019-ct19,0,0,0
1011020-ct20,0,0,0
1011022-ct22,0,0,0
1011024-ct24,0,0,0
1011026-ct26,0,0,0
1011028-ct28,0,0,0
2031004-mz4,0,0,0
2031005-mz5,0,0,0
2031007-mz7,0,0,0
2031008-mz8,0,0,0
2031010-mz10,0,0,0
2031017-mz17,0,0,0
2031020-mz20,0,0,0
2031022-mz22,0,0,0
2031027-mz27,0,0,0
2031028-mz28,0,0,0
2031030-mz30,0,0,0
3051001-rj1,0,0,0
3051002-rj2,0,0,0
3051004-rj4,0,0,0
3051005-rj5,0,0,0
3051006-rj6,0,0,0
3051010-rj10,0,0,0
3051011-rj11,0,0,0
3051013-rj13,0,0,0
3051014-rj14,0,0,0
3051015-rj15,0,0,0
3051018-rj18,0,0,0
3051019-rj19,0,0,0
3051022-rj22,0,0,0
3051023-rj23,0,0,0
3051024-rj24,0,0,0
3051025-rj25,0,0,0
3051026-rj26,0,0,0
3051027-rj27,0,0,0
3051028-rj28,0,0,0
3051030-rj30,0,0,0
3051031-rj31,0,0,0
3051032-rj32,0,0,0
3051033-rj33,0,0,0
3051036-rj36,0,0,0
3051040-rj40,0,0,0
3051041-rj41,0,0,0
3051044-rj44,0,0,0
3051045-rj45,0,0,0
3051047-rj47,0,0,0
3051049-rj49,0,0,0
3072002-rj52,0,0,0
3072003-rj53,0,0,0
3072006-rj56,0,0,0
3072008-rj58,0,0,0
3072012-rj62,0,0,0
3072013-rj63,0,0,0
3072014-rj64,0,0,0
3072015-rj65,0,0,0
3072016-rj66,0,0,0
3072018-rj68,0,0,0
3072019-rj69,0,0,0
3072022-rj72,0,0,0
3072023-rj73,0,0,0
3072024-rj74,0,0,0
3072025-rj75,0,0,0
3072026-rj76,0,0,0
3072027-rj77,0,0,0
3072028-rj78,0,0,0
3072029-rj79,0,0,0
3072030-rj80,0,0,0
3072031-rj81,0,0,0
3072032-rj82,0,0,0
3072033-rj83,0,0,0
3072034-rj84,0,0,0
3072035-rj85,0,0,0
3072036-rj86,0,0,0
3072040-rj90,0,0,0
3072041-rj91,0,0,0
3072042-rj92,0,0,0
3072043-rj93,0,0,0
3072044-rj94,0,0,0
3072046-rj96,0,0,0
3072047-rj97,0,0,0
3072048-rj98,0,0,0
3072049-rj99,0,0,0
3072050-rj100,0,0,0
4112043-tg243,0,0,0
4122100-tg300,0,0,0
4141008-tg108,0,0,0
4141009-tg109,0,0,0
4141012-tg112,0,0,0
4141035-tg135,0,0,0
4141090-tg190,0,0,0
4141092-tg192,0,0,0
4152013-tg213,0,0,0
4152015-tg215,0,0,0
4152030-tg230,0,0,0
4152031-tg231,0,0,0
4152035-tg235,0,0,0
4152038-tg238,0,0,0
4152041-tg241,0,0,0
4152092-tg292,0,0,0
4173075-tg75,0,0,0
4183032-tg32,0,0,0
4183052-tg52,0,0,0
4192099-tg299,0,0,0
4202003-tg203,0,0,0
4202004-tg204,0,0,0
4202032-tg232,0,0,0
4202034-tg234,0,0,0
4213025-tg25,0,0,0
4221040-tg140,0,0,0
4221074-tg174,0,0,0
4221095-tg195,0,0,0
4231029-tg129,0,0,0
4231050-tg150,0,0,0
4231058-tg158,0,0,0
4231084-tg184,0,0,0
