school_server_code,total_stud_e,total_stud_m,total_stud_s
-ct31,0,11,2
-ct32,0,25,0
-ct33,0,29,1
-ct34,0,1,6
1011001-ct1,0,11,12
1011003-ct3,0,16,0
1011004-ct4,0,2,0
1011005-ct5,0,2,0
1011006-ct6,0,4,6
1011007-ct7,0,5,0
1011008-ct8,0,0,1
1011009-ct9,0,84,0
1011010-ct10,0,2,2
1011011-ct11,0,32,0
1011013-ct13,0,2,0
1011014-ct14,0,11,0
1011016-ct16,0,4,0
1011017-ct17,0,1,10
1011018-ct18,0,51,6
1011019-ct19,0,43,0
1011020-ct20,0,39,0
1011022-ct22,0,33,0
1011024-ct24,0,55,0
1011026-ct26,0,0,1
1011028-ct28,0,3,0
2031004-mz4,0,2,0
2031005-mz5,0,3,1
2031007-mz7,0,2,0
2031008-mz8,0,17,3
2031011-mz11,0,27,0
2031014-mz14,0,34,0
2031016-mz16,0,2,0
2031017-mz17,0,2,0
2031027-mz27,0,10,0
2031028-mz28,0,1,0
2031030-mz30,0,35,0
3051001-rj1,0,12,4
3051002-rj2,0,3,15
3051004-rj4,0,1,8
3051006-rj6,0,20,42
3051010-rj10,0,1,2
3051011-rj11,0,0,18
3051013-rj13,0,22,0
3051014-rj14,0,6,1
3051015-rj15,0,0,15
3051018-rj18,0,4,0
3051022-rj22,0,15,16
3051024-rj24,0,18,0
3051025-rj25,0,27,0
3051026-rj26,0,25,11
3051027-rj27,0,6,6
3051028-rj28,0,0,1
3051030-rj30,0,20,0
3051031-rj31,0,24,2
3051032-rj32,0,31,2
3051033-rj33,0,1,0
3051036-rj36,0,5,9
3051041-rj41,0,1,0
3051044-rj44,0,12,3
3051047-rj47,0,15,0
3051049-rj49,0,10,25
3072002-rj52,0,9,17
3072006-rj56,0,18,2
3072008-rj58,0,27,0
3072009-rj59,0,2,11
3072012-rj62,0,2,0
3072013-rj63,0,1,0
3072014-rj64,0,2,0
3072018-rj68,0,23,0
3072019-rj69,0,0,4
3072022-rj72,0,17,0
3072023-rj73,0,30,19
3072024-rj74,0,22,7
3072025-rj75,0,2,15
3072026-rj76,0,41,10
3072027-rj77,0,20,1
3072028-rj78,0,48,2
3072029-rj79,0,29,0
3072030-rj80,0,9,2
3072031-rj81,0,14,2
3072032-rj82,0,29,10
3072033-rj83,0,6,3
3072034-rj84,0,9,0
3072035-rj85,0,19,0
3072036-rj86,0,3,5
3072040-rj90,0,35,0
3072041-rj91,0,11,0
3072043-rj93,0,16,2
3072044-rj94,0,19,0
3072046-rj96,0,22,0
3072047-rj97,0,7,2
3072048-rj98,0,5,0
3072049-rj99,0,1,2
3072050-rj100,0,19,2
4122100-tg300,0,42,10
4141008-tg108,0,9,0
4141009-tg109,0,16,0
4141012-tg112,0,1,1
4141045-tg145,0,10,8
4152001-tg201,0,6,3
4152002-tg202,0,2,0
4152012-tg212,0,2,1
4152015-tg215,0,8,19
4152017-tg217,0,5,1
4152023-tg223,0,1,1
4152030-tg230,0,1,0
4152031-tg231,0,26,27
4152035-tg235,0,1,1
4152038-tg238,0,0,1
4152041-tg241,0,1,0
4152072-tg272,0,3,0
4152092-tg292,0,1,0
4173074-tg74,0,15,10
4173075-tg75,0,2,3
4183023-tg23,0,24,25
4192081-tg281,0,14,1
4202003-tg203,0,4,0
4202004-tg204,0,12,5
4202010-tg210,0,4,0
4202034-tg234,0,36,2
4202059-tg259,0,3,2
4202074-tg274,0,1,0
4202083-tg283,0,5,2
4213025-tg25,0,16,1
4221018-tg118,0,4,0
4221026-tg126,0,1,1
4221040-tg140,0,18,3
4221067-tg167,0,13,4
4221068-tg168,0,1,1
4221074-tg174,0,3,1
4231023-tg123,0,2,1
4231029-tg129,0,13,8
4231036-tg136,0,65,10
4231043-tg143,0,1,0
4231046-tg146,0,2,0
4231050-tg150,0,1,0
4231051-tg151,0,2,0
4231058-tg158,0,1,1
4231078-tg178,0,11,0
4231084-tg184,0,9,0
