school_server_code,total_stud_e,total_stud_m,total_stud_s
-ct31,0,11,2
-ct32,0,25,0
-ct33,0,29,1
-ct34,0,1,6
1011001-ct1,0,11,12
1011003-ct3,0,16,0
1011004-ct4,0,2,0
1011005-ct5,0,2,0
1011006-ct6,0,4,6
1011007-ct7,0,5,0
1011008-ct8,0,0,1
1011009-ct9,0,84,0
1011010-ct10,0,2,2
1011011-ct11,0,32,0
1011013-ct13,0,2,0
1011014-ct14,0,11,0
1011016-ct16,0,4,0
1011017-ct17,0,1,10
1011018-ct18,0,51,6
1011019-ct19,0,43,0
1011020-ct20,0,39,0
1011022-ct22,0,33,0
1011024-ct24,0,55,0
1011026-ct26,0,0,1
1011028-ct28,0,3,0
