school_server_code,total_stud_e,total_stud_m,total_stud_s
3051001-rj1,0,12,4
3051002-rj2,0,3,15
3051004-rj4,0,1,8
3051006-rj6,0,20,42
3051010-rj10,0,1,2
3051011-rj11,0,0,18
3051013-rj13,0,22,0
3051014-rj14,0,6,1
3051015-rj15,0,0,15
3051018-rj18,0,4,0
3051022-rj22,0,15,16
3051024-rj24,0,18,0
3051025-rj25,0,27,0
3051026-rj26,0,25,11
3051027-rj27,0,6,6
3051028-rj28,0,0,1
3051030-rj30,0,20,0
3051031-rj31,0,24,2
3051032-rj32,0,31,2
3051033-rj33,0,1,0
3051036-rj36,0,5,9
3051041-rj41,0,1,0
3051044-rj44,0,12,3
3051047-rj47,0,15,0
3051049-rj49,0,10,25
3072002-rj52,0,9,17
3072006-rj56,0,18,2
3072008-rj58,0,27,0
3072009-rj59,0,2,11
3072012-rj62,0,2,0
3072013-rj63,0,1,0
3072014-rj64,0,2,0
3072018-rj68,0,23,0
3072019-rj69,0,0,4
3072022-rj72,0,17,0
3072023-rj73,0,30,19
3072024-rj74,0,22,7
3072025-rj75,0,2,15
3072026-rj76,0,41,10
3072027-rj77,0,20,1
3072028-rj78,0,48,2
3072029-rj79,0,29,0
3072030-rj80,0,9,2
3072031-rj81,0,14,2
3072032-rj82,0,29,10
3072033-rj83,0,6,3
3072034-rj84,0,9,0
3072035-rj85,0,19,0
3072036-rj86,0,3,5
3072040-rj90,0,35,0
3072041-rj91,0,11,0
3072043-rj93,0,16,2
3072044-rj94,0,19,0
3072046-rj96,0,22,0
3072047-rj97,0,7,2
3072048-rj98,0,5,0
3072049-rj99,0,1,2
3072050-rj100,0,19,2
